"","m1","m2","m3"
"Bacteroides caecimuris",0.0540540540540541,0.0540540540540541,0.0496763384279264
"Bifidobacterium animalis",0.0810810810810811,0.0810810810810811,0.0810810810810811
"Blautia sp. YL58",0.112575549518697,0.116482633514257,0.114515207953309
"Turicimonas muris",0.147278366390893,0.156303942707761,0.15429848779671
"Enterococcus faecalis",0.137474521762182,0.144820449077413,0.140084169960418
"Clostridium innocuum",0.095587617746466,0.100258094039211,0.0965558029835868
"Flavonifractor plautii",0.0220740063833539,0.0259346006729315,0.0265717281789191
"Enterocloster",0.475389543977799,0.498419705421808,0.491757720051969
"Lactobacillus reuteri",0.100213390565434,0.109125748429925,0.109143243590853
"L1-norm",1.22572813147996,1.28648030899844,1.26368378002477
"L2-norm",0.555357177639039,0.582686014944532,0.573893887275153
"True positives",7,5,6
"precision",1,0.714285714285714,0.75
"recall",0.777777777777778,0.555555555555556,0.666666666666667
