,BC17_all,BC18_all,BC19_all,BC20_all,BC21_all
Acutalibacter muris,0.0102865981859581,0.00508876867033883,0.00845486740932415,0.00106447688564477,0
Akkermansia muciniphila,0.0103416435826408,0.0572944297071286,0.0362207414993828,0.00857727397603425,0.0236101418934636
Bacteroides caecimuris,0.380802725194685,0.277382609132249,0.40047836277676,0.244373623763593,0.180855551603719
Blautia sp. YL58,0.264998088106323,0.440360446786476,0.393566139030532,0.60612509133561,0.701237433604928
Burkholderiales bacterium YL45,0.00175438596491228,0.00218096080165046,0.00307534597642234,0.00212895377128954,0
Enterococcus faecalis,0.0164871616212009,0.00795755911627974,0.00273368124242699,0.00958029188434644,0.0119795301233298
Erysipelotrichaceae bacterium I46,0.136178698015964,0.176631072876555,0.115027999708509,0.0788461237692119,0.0477697831503846
Flavonifractor plautii,0.00424746075715605,0.00165045682287062,0.00521100290449544,0.00807467551745954,0.00502322864802046
Hungateiclostridiaceae bacterium KB18,0.00335892313046184,0.0047549921312759,0.00422508071617544,0,0
Lachnoclostridium sp. YL32,0.0906891829521732,0.0116278629172579,0.0124849724342066,0.0155318983732601,0.0130762547810128
Lactobacillus reuteri,0.065373376138952,0,0,0,0
Muribaculum intestinale,0.00655586330505416,0.0057527959778605,0.0102512715927288,0.0196167284857605,0.00883926494533612
Total_NF,10831,16972,11709,13156,8612
