,barcode03,barcode04,barcode05,barcode06,barcode07
Acutalibacter muris,0.000614283219785115,0.00106246372311189,0.000946337425245833,0.000365317229371813,0.000628867560481506
Akkermansia muciniphila,0.134307762008373,0.109735291484412,0.0976835934790073,0.109164143876033,0.109216356923487
Bacteroides caecimuris,0.448918807998907,0.470504585063979,0.483208993983413,0.500470625328243,0.516540947405825
Bifidobacterium animalis,0.0240660019675063,0.0212490988778658,0.0384035233754874,0.0192418916349689,0.0288079289876356
Blautia hominis,0,0,0.000699738882821105,0,0
Blautia producta,0,0.000415677672818104,0,0,0
Blautia sp. YL58,0.307639633993082,0.321942324981567,0.315655500732761,0.311063677631469,0.288584461448272
Burkholderiales bacterium YL45,0.0178250833547063,0.0121238755040844,0.0150760148582874,0.0181127815690903,0.0145673364918586
Enterococcus faecalis,0.0167136875284502,0.0125116312649222,0.0105056019297816,0.0129047154805275,0.0128791631244446
Erysipelotrichaceae bacterium I46,0.00555698042233051,0.00878916498912711,0.00463388969588975,0.00456667653894739,0.00411152861731966
Flavonifractor plautii,0.00149611011460247,0.00227509728095833,0.00203129780525349,0.00156554998717199,0.00200766755066367
Hungateiclostridiaceae bacterium KB18,0.000539858867929684,0.000385162794751405,0.000958001272754356,0.000378692211851215,0
Laceyella sacchari,0.000848477730700208,0.000594577539433254,0.000994804904423209,0.000599951270331858,0.000678543564941448
Lachnoclostridium sp. YL32,0.0248023714029254,0.0276830994420996,0.0173320111592067,0.00939315072974199,0.00796758604305602
Lactobacillus reuteri,0.00192357014619133,0.00105986971357667,0,0.00059007645338396,0.000272286663399227
Muribaculum intestinale,0.014747371244511,0.00966807966729393,0.0118706904956676,0.0115827500588685,0.0137373256186163
Total_NF,23420,38746,31541,39033,36764
