,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode09,barcode10,barcode11,barcode12,barcode13
Acutalibacter muris,0.0109316844888087,0.017054397023594,0.02143694074093,0.0184213059488426,0.00855592450616417,0.00882079851439183,0.00989189832252215,0,0.00775207157852829,0,0,0
Akkermansia muciniphila,0.0492307692307692,0.0284854099119963,0.032258064516129,0.0401626842907982,0.0534117045744953,0.0756731662024141,0.0447662936142199,0.0595650803655846,0.0570977206048296,0,0,0
Bacteroides caecimuris,0.245594405594406,0.189902732746642,0.173346366894754,0.222165734621251,0.233580373115257,0.281801299907149,0.193877551020408,0.257169870784746,0.187090950124125,0.00406428967300942,0.0183215130023641,0.0230898404701931
Bifidobacterium animalis,0,0.00393700787401575,0.00684261974584555,0,0.00511116790186558,0,0,0.0034667507091081,0,0.0940328837840586,0.0862884160756501,0.077665827036104
Blautia sp. YL58,0.322296548363061,0.317898681818251,0.31034825778774,0.34064750550472,0.37078610259368,0.428561946169892,0.394646844165892,0.414486380556982,0.367398878887853,0.0206931292546571,0.0449172573662731,0.028127623845508
Burkholderiales bacterium YL45,0.00699300699300699,0.0111162575266327,0.0133594004561747,0.00915099135739705,0.00817786864298492,0.00974930362116992,0.00625411454904542,0.0126063662149385,0.00925299029564432,0.00923702198411232,0.016548463356974,0.0113350125944584
Enterococcus faecalis,0.0100699300699301,0.0111162575266327,0.0241120886282177,0.0183019827147941,0.020189113212369,0.0162488393686165,0.0121790651744569,0.0144973211471793,0.0119611825772963,0.355255871587115,0.33451536643026,0.331234253633426
Erysipelotrichaceae bacterium I46,0.0170629370629371,0.01528485409912,0.0169436298468557,0.0116929334011185,0.0171224124712497,0.0139275766016713,0.0134957208689928,0.0173337535455405,0.012863913337847,0.0251246993406222,0.0390070921985816,0.0293870696896292
Escherichia coli,0.00307692307692308,0.00301065308012969,0,0,0,0,0,0,0,0,0,0
Flavonifractor plautii,0.0041958041958042,0.00764242704955998,0.0101010101010101,0.00762582613116421,0.00613340148223869,0.00882079851439183,0.0032916392363397,0.0104002521273243,0.00631911532385466,0.00314058747459819,0.00591016548463357,0.00503778337531486
Hungateiclostridiaceae bacterium KB18,0.0153620388652051,0.0176839077471332,0.0238546851958572,0.0136071638020471,0.0118887471012981,0,0.00821211747734618,0,0.0112052743930357,0,0,0
Lachnoclostridium sp. YL32,0.293088049961247,0.356487608130799,0.32471202243383,0.297379947469353,0.23948734488907,0.110435328300052,0.283357939472519,0.109623294977547,0.223889769272618,0.280064306561856,0.264775414028526,0.297649034424853
Lactobacillus reuteri,0.0111888111888112,0.00995831403427513,0.021505376344086,0.0111845449923742,0.0084334270380782,0.00928505106778087,0.00427913100724161,0.0715411282697762,0.0715414127736403,0.208387210339971,0.189716312056738,0.196473554930513
Muribaculum intestinale,0.0109090909090909,0.0104214914312182,0.0120560443141088,0.00965937976614133,0.0171224124712497,0.0157845868152275,0.0131665569453588,0.012921525370312,0.017603249830738,0,0,0
Peptacetobacter hiranonis,0,0,0.00391006842619746,0,0,0,0,0,0,0,0,0
[Clostridium] hylemonae,0,0,0.00521342456826328,0,0,0,0,0,0,0,0,0
[Clostridium] scindens,0,0,0,0,0,0.0208913049172429,0.0125811281456579,0.0163882759309613,0.0160234709999892,0,0,0
Total_NF,3586,4341,3099,1983,3938,2182,3059,3210,4469,5582,1769,2493
