"","X0559_B2_L1.fa","X06838_1m_L1.fa","B218_1m_L1.fa","R1250_IF_L1.fa","R25551_f_L1.fa"
"Akkermansia",18174,35824,20183,20212,11693
"Subdivision3_genera_incertae_sedis",1,0,0,0,0
"Mediterranea",198,183,286,257,253
"Bacteroides",43841,36763,52827,46870,46764
"Phocaeicola",0,0,2,0,2
"Muribaculum",6572,4697,7251,5101,8354
"Coprobacter",0,0,0,0,1
"Parabacteroides",0,0,0,0,1
"Pedobacter",0,0,0,0,2
"Enterocloster",25094,13114,8182,12955,25782
"Blautia",6187,2630,3091,1815,3032
"Fusicatenibacter",0,0,1,0,0
"Lachnospira",0,0,0,1,0
"Caecibacterium",0,0,0,0,2
"Falcatimonas",0,0,0,1,0
"Flavonifractor",940,898,884,730,890
"Acutalibacter",2371,1163,1692,1222,2956
"Gemmiger",0,0,1,0,0
"Faecalibacterium",0,0,3,4,3
"Lawsonibacter",0,0,1,1,1
"Clostridioides",1,0,1,0,0
"Hathewaya",0,1,0,0,0
"Enterococcus",294,262,247,135,179
"Melissococcus",0,0,1,1,0
"Limosilactobacillus",41,1486,292,1358,1871
"Isobaculum",1,2,0,1,0
"Listeria",0,3,0,0,0
"Longicatena",13,11,18,11,9
"Faecalibacillus",0,0,0,0,1
"Turicibacter",0,0,0,0,1
"Turicimonas",2466,2238,2350,3272,4409
"Sutterella",0,0,1,0,0
"Ralstonia",0,0,0,1,1
"Methylovirgula",1,0,0,0,0
"Oligotropha",0,1,0,0,1
"Bradyrhizobium",0,0,0,0,1
"Roseiarcus",1,0,0,0,0
"Sphingomonas",0,0,0,1,0
"Acidibacter",2,0,0,0,0
"Pseudescherichia",5,2,4,2,4
"Leclercia",1,0,0,0,0
"Escherichia/Shigella",0,1,0,0,1
"Vulgatibacter",0,1,0,0,0
"Bifidobacterium",351,470,236,1415,291
"Paraconexibacter",1,0,0,0,0
"Gaiella",1,0,0,0,0
"Acidiferrimicrobium",2,0,0,0,0
"Candidatus Koribacter",1,0,0,0,0
"Gp1",1,0,0,0,0
"Candidatus Solibacter",1,0,0,0,0
"Pyrinomonas",0,0,0,3,0
"Dictyobacter",1,0,0,0,0
"Total",111677,104156,102778,100630,111752
