,barcode49,barcode50,barcode51,barcode52,barcode53
Acutalibacter muris,0.00853828202850415,0.00435537839713022,0.0173144927557107,0.00613209763021502,0.0186244813264257
Akkermansia muciniphila,0.231307068140729,0.416749290378764,0.161885105575884,0.285752186134344,0.263881344901876
Bacillus subtilis,0,6.97969543147208E-05,0,0,0
Bacteroides acidifaciens,0,3.77602301990205E-05,0,0,0
Bacteroides caecimuris,0.321376016563784,0.284806641267382,0.31718281718607,0.366580084787672,0.276954659083345
Bacteroides ovatus,0,3.57311690802746E-05,0,0,0
Bacteroides xylanisolvens,0,8.83220516775072E-05,0,0,0
Bifidobacterium animalis,0.00441399500501762,0.00440671743798756,0.0032584288633689,0.031617582028762,0.029230629193448
Blautia coccoides,0,3.90075698705313E-05,0,0,0
Blautia hominis,0.000126030346968445,7.89304810430693E-05,0,0,0
Blautia marasmi,0,9.63992490904041E-05,0,0,0
Blautia producta,0,0.000294674976918646,0,0,0
Blautia sp. YL58,0.083219454563391,0.031549528201811,0.0342820854785677,0.0249174745212848,0.0426307752323053
Burkholderiales bacterium YL45,0.0266876928764911,0.0116167575743644,0.0365180368627195,0.0293623419120899,0.0543555872902535
Clostridioides difficile,0,3.80710659898477E-05,0,0,0
Enterocloster bolteae,0.000370160524794618,0.000952036654800913,0.000647790280649919,0.000651692903306498,0
Enterocloster clostridioformis,0,5.73655877338666E-05,0,0,0
Enterococcus faecalis,0.00579478284882251,0.00384073627696032,0.00258310681970375,0.00264771653382204,0.0078947563358657
Erysipelotrichaceae bacterium I46,0.0147510434482594,0.0115787583597104,0.0106199594781502,0.0183072433006102,0.0183862933357898
Escherichia coli,0.000150905812137354,0.000180837563451777,0.000540257635359862,0.00110550986114796,0.000580149946447697
Flavonifractor plautii,0.00442915721106022,0.00568421749348169,0.00534565194684675,0.00559033972643244,0.00571224562655158
Hungateiclostridiaceae bacterium KB18,0.00542198071129923,0.00269577799377816,0.0111107417754725,0.00421547467030042,0.0112170324941564
Laceyella sacchari,0.000248661843487347,0.000176536500478981,0,0,0
Lachnoclostridium sp. YL32,0.276956543340262,0.196579382284157,0.359038543934287,0.192424317536341,0.242015444051251
Lactobacillus reuteri,0.000467808017615219,0.0157029876223055,0.0219142003727389,0.0182630224453772,0.0127632988232903
Muribaculum intestinale,0.0156121467770622,0.00800342177568602,0.017404236961268,0.0117253896971602,0.0153070331694191
Pseudoflavonifractor phocaeensis,0,3.42999060784077E-05,0,0,0
Salmonella enterica,0,4.44162436334411E-05,0,0,0
Staphylococcus aureus,0,4.1243654822335E-05,0,0,0
[Clostridium] scindens,0.000128269940316751,0.000164975077300029,0.00035454407320491,0.000707526311134695,0.000446269189575152
